query,column,metric_type,method_value,baseline_value,method_error,baseline_error,normalized_error,method
Xeon_network_consumption,avg_bytes_received,median_relative_error,0.9999999999998463,0.9999399533092179,0.9999999999998463,0.9999399533092179,1.00006005029645,widetable
Xeon_network_consumption,avg_bytes_sent,median_relative_error,0.9999999999998368,0.9999749970043232,0.9999999999998368,0.9999749970043232,1.000025003620679,widetable
Xeon_network_consumption,group_coverage,jaccard,0.5714285714285714,0.875,0.4285714285714286,0.125,3.428571428571429,widetable
Xeon_network_consumption,number_of_systems,median_relative_error,21.707070707070706,0.1111111111111111,21.707070707070706,0.1111111111111111,195.36363636363637,widetable
avg_platform_power_c0_freq_temp_by_chassis,avg_freq_mhz,median_relative_error,0.9999965258154596,0.25904500663400115,0.9999965258154596,0.25904500663400115,3.860319636380145,widetable
avg_platform_power_c0_freq_temp_by_chassis,avg_pkg_c0,median_relative_error,0.999470853704973,0.28511095585148255,0.999470853704973,0.28511095585148255,3.5055504995241518,widetable
avg_platform_power_c0_freq_temp_by_chassis,avg_psys_rap_watts,median_relative_error,0.9995210041379066,0.6152896344262119,0.9995210041379066,0.6152896344262119,1.624472359379188,widetable
avg_platform_power_c0_freq_temp_by_chassis,avg_temp_centigrade,median_relative_error,0.9999366017948426,0.0730158673393404,0.9999366017948426,0.0730158673393404,13.694784958831603,widetable
avg_platform_power_c0_freq_temp_by_chassis,number_of_systems,median_relative_error,1161.439655172414,0.05,1161.439655172414,0.05,23228.79310344828,widetable
battery_power_on_geographic_summary,avg_duration,median_relative_error,0.9991667478231065,0.05938791010147264,0.9991667478231065,0.05938791010147264,16.82441335477017,widetable
battery_power_on_geographic_summary,avg_number_of_dc_powerons,median_relative_error,0.9704818593113193,0.04449363519852995,0.9704818593113193,0.04449363519852995,21.811700819252987,widetable
battery_power_on_geographic_summary,group_coverage,jaccard,0.74,0.9583333333333334,0.26,0.04166666666666663,6.2400000000000055,widetable
battery_power_on_geographic_summary,number_of_systems,median_relative_error,30.77310924369748,0.028368794326241134,30.77310924369748,0.028368794326241134,1084.7521008403362,widetable
most_popular_browser_in_each_country_by_system_count,browser,categorical_accuracy,0.8235294117647058,0.9803921568627451,0.17647058823529416,0.019607843137254943,8.999999999999982,widetable
persona_web_cat_usage_analysis,content_creation_photo_edit_creation,median_relative_error,26.672131147540984,0.7292576419213974,26.672131147540984,0.7292576419213974,36.57435947776578,widetable
persona_web_cat_usage_analysis,content_creation_video_audio_edit_creation,median_relative_error,48.0,0.4444444444444445,48.0,0.4444444444444445,107.99999999999999,widetable
persona_web_cat_usage_analysis,content_creation_web_design_development,median_relative_error,7.354651162790699,0.23026315789473678,7.354651162790699,0.23026315789473678,31.940199335548186,widetable
persona_web_cat_usage_analysis,days,median_relative_error,0.8138802982994353,0.05910682424909113,0.8138802982994353,0.05910682424909113,13.769650266939356,widetable
persona_web_cat_usage_analysis,education,median_relative_error,1.615769712140175,0.07218212104386458,1.615769712140175,0.07218212104386458,22.384625012034252,widetable
persona_web_cat_usage_analysis,entertainment_music_audio_streaming,median_relative_error,8.119402985074627,0.27424749163879597,8.119402985074627,0.27424749163879597,29.606115762650166,widetable
persona_web_cat_usage_analysis,entertainment_other,median_relative_error,0.736612973443622,0.22188969645147497,0.736612973443622,0.22188969645147497,3.3197259053653796,widetable
persona_web_cat_usage_analysis,entertainment_video_streaming,median_relative_error,0.3333333333333333,0.03686914475672405,0.3333333333333333,0.03686914475672405,9.040983606557385,widetable
persona_web_cat_usage_analysis,finance,median_relative_error,5.850771869639796,0.15326633165829145,5.850771869639796,0.15326633165829145,38.17388859207605,widetable
persona_web_cat_usage_analysis,games_other,median_relative_error,4.048,0.31984897518878097,4.048,0.31984897518878097,12.65597301854975,widetable
persona_web_cat_usage_analysis,games_video_games,median_relative_error,180.2,0.2857142857142857,180.2,0.2857142857142857,630.7,widetable
persona_web_cat_usage_analysis,mail,median_relative_error,0.2843894899536321,0.04011887072808324,0.2843894899536321,0.04011887072808324,7.088671360696084,widetable
persona_web_cat_usage_analysis,news,median_relative_error,1.4683760683760685,0.18752886836027718,1.4683760683760685,0.18752886836027718,7.830133468064501,widetable
persona_web_cat_usage_analysis,number_of_systems,median_relative_error,13.166447464562326,0.03842869342442357,13.166447464562326,0.03842869342442357,342.62022180005516,widetable
persona_web_cat_usage_analysis,private,median_relative_error,0.7378978610172962,0.11271562345983256,0.7378978610172962,0.11271562345983256,6.546544643655847,widetable
persona_web_cat_usage_analysis,productivity_other,median_relative_error,4.342333654773385,0.12085137085137085,4.342333654773385,0.12085137085137085,35.93119071949798,widetable
persona_web_cat_usage_analysis,productivity_presentations,median_relative_error,12.714285714285715,0.24358974358974364,12.714285714285715,0.24358974358974364,52.1954887218045,widetable
persona_web_cat_usage_analysis,productivity_programming,median_relative_error,5.5318627450980395,0.25833333333333336,5.5318627450980395,0.25833333333333336,21.413662239089184,widetable
persona_web_cat_usage_analysis,productivity_project_management,median_relative_error,21.711111111111112,0.6363636363636364,21.711111111111112,0.6363636363636364,34.11746031746032,widetable
persona_web_cat_usage_analysis,productivity_spreadsheets,median_relative_error,2.6105675146771037,0.1530054644808743,2.6105675146771037,0.1530054644808743,17.061923399496788,widetable
persona_web_cat_usage_analysis,productivity_word_processing,median_relative_error,4.1466666666666665,0.27038626609442046,4.1466666666666665,0.27038626609442046,15.336084656084664,widetable
persona_web_cat_usage_analysis,recreation_travel,median_relative_error,4.9529411764705875,0.14845938375350137,4.9529411764705875,0.14845938375350137,33.362264150943396,widetable
persona_web_cat_usage_analysis,reference,median_relative_error,3.5239316239316243,0.12044817927170864,3.5239316239316243,0.12044817927170864,29.25682766845559,widetable
persona_web_cat_usage_analysis,search,median_relative_error,0.1981737765729775,0.08517520215633419,0.1981737765729775,0.08517520215633419,2.326660478119452,widetable
persona_web_cat_usage_analysis,shopping,median_relative_error,0.4734794908062235,0.10075757575757575,0.4734794908062235,0.10075757575757575,4.699194946347482,widetable
persona_web_cat_usage_analysis,social_communication,median_relative_error,2.795024875621891,0.20600414078674956,2.795024875621891,0.20600414078674956,13.567809195229879,widetable
persona_web_cat_usage_analysis,social_communication_live,median_relative_error,2.1634877384196187,0.1660714285714286,2.1634877384196187,0.1660714285714286,13.02745304854824,widetable
persona_web_cat_usage_analysis,social_social_network,median_relative_error,0.6871063970831952,0.16732477788746286,0.6871063970831952,0.16732477788746286,4.106423482273022,widetable
persona_web_cat_usage_analysis,unclassified,median_relative_error,0.7282113660151056,0.04434861981051899,0.7282113660151056,0.04434861981051899,16.420158488052476,widetable
pkg_power_by_country,avg_pkg_power_consumed,median_relative_error,0.9992934938535887,0.8399379080795496,0.9992934938535887,0.8399379080795496,1.1897230548129358,widetable
pkg_power_by_country,group_coverage,jaccard,0.9411764705882353,0.8775510204081632,0.05882352941176472,0.12244897959183676,0.4803921568627451,widetable
pkg_power_by_country,number_of_systems,median_relative_error,739.1272727272727,0.3888888888888889,739.1272727272727,0.3888888888888889,1900.6129870129869,widetable
popular_browsers_by_count_usage_percentage,percent_duration,total_variation,0.21329999999999996,0.007699999999999971,0.21329999999999996,0.007699999999999971,27.7012987012988,widetable
popular_browsers_by_count_usage_percentage,percent_instances,total_variation,0.44059999999999994,0.002290970902909667,0.44059999999999994,0.002290970902909667,192.32020775140015,widetable
popular_browsers_by_count_usage_percentage,percent_systems,total_variation,0.18449577089025967,0.001466776388245758,0.18449577089025967,0.001466776388245758,125.78316120217464,widetable
ram_utilization_histogram,avg_percentage_used,median_relative_error,1.0,0.06385809312638581,1.0,0.06385809312638581,15.659722222222221,widetable
ram_utilization_histogram,count(DISTINCT guid)_distribution,total_variation,0.4873860282211548,0.010910231040328022,0.4873860282211548,0.010910231040328022,44.67238378542177,widetable
Xeon_network_consumption,avg_bytes_received,median_relative_error,0.9355756420085877,0.9999399533092179,0.9355756420085877,0.9999399533092179,0.9356318236033855,pertable
Xeon_network_consumption,avg_bytes_sent,median_relative_error,0.9838399811566945,0.9999749970043232,0.9838399811566945,0.9999749970043232,0.9838645807185527,pertable
Xeon_network_consumption,group_coverage,jaccard,0.5714285714285714,0.875,0.4285714285714286,0.125,3.428571428571429,pertable
Xeon_network_consumption,number_of_systems,median_relative_error,1.324915824915825,0.1111111111111111,1.324915824915825,0.1111111111111111,11.924242424242426,pertable
battery_on_duration_cpu_family_gen,avg_duration_mins_on_battery,median_relative_error,0.5411786705698024,0.038414842323032876,0.5411786705698024,0.038414842323032876,14.087749365700793,pertable
battery_on_duration_cpu_family_gen,number_of_systems,median_relative_error,0.9290843806104129,0.0444026890561859,0.9290843806104129,0.0444026890561859,20.924056636182012,pertable
battery_power_on_geographic_summary,avg_duration,median_relative_error,0.23883114441006242,0.05938791010147264,0.23883114441006242,0.05938791010147264,4.021544856553896,pertable
battery_power_on_geographic_summary,avg_number_of_dc_powerons,median_relative_error,0.13557835887576913,0.04449363519852995,0.13557835887576913,0.04449363519852995,3.0471405240506977,pertable
battery_power_on_geographic_summary,group_coverage,jaccard,0.7872340425531915,0.9583333333333334,0.21276595744680848,0.04166666666666663,5.106382978723408,pertable
battery_power_on_geographic_summary,number_of_systems,median_relative_error,0.12237762237762238,0.028368794326241134,0.12237762237762238,0.028368794326241134,4.313811188811189,pertable
display_devices_connection_type_resolution_durations_ac_dc,group_coverage,jaccard,0.0,0.9361702127659575,1.0,0.06382978723404253,15.666666666666671,pertable
display_devices_vendors_percentage,percentage_of_systems,total_variation,0.13409610733277066,0.0031715652398815177,0.13409610733277066,0.0031715652398815177,42.28073433475396,pertable
mods_blockers_by_osname_and_codename,entries_per_system,median_relative_error,0.8282217508556363,0.05062209045643426,0.8282217508556363,0.05062209045643426,16.360876119258844,pertable
mods_blockers_by_osname_and_codename,num_entries,median_relative_error,0.7993924753139054,0.06262955256648833,0.7993924753139054,0.06262955256648833,12.763822230172572,pertable
mods_blockers_by_osname_and_codename,number_of_systems,median_relative_error,0.9760940763854863,0.025067579744098033,0.9760940763854863,0.025067579744098033,38.938504887584934,pertable
most_popular_browser_in_each_country_by_system_count,browser,categorical_accuracy,0.9215686274509803,0.9803921568627451,0.07843137254901966,0.019607843137254943,3.9999999999999942,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_modern_sleep_time,median_relative_error,0.5217450440818187,0.1739447444036429,0.5217450440818187,0.1739447444036429,2.9994872559707635,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_off_time,median_relative_error,0.14507267065030308,0.0736026913626004,0.14507267065030308,0.0736026913626004,1.971023993342974,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_on_time,median_relative_error,0.13471126915643072,0.029821340201843197,0.13471126915643072,0.029821340201843197,4.5172775014351805,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_pcnt_mods_time,median_relative_error,0.48302561048243003,0.1723244758654314,0.48302561048243003,0.1723244758654314,2.8030006071779723,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_pcnt_off_time,median_relative_error,0.16212338593974174,0.07320722457496873,0.16212338593974174,0.07320722457496873,2.2145817831642747,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_pcnt_on_time,median_relative_error,0.13264516129032258,0.02947354571710905,0.13264516129032258,0.02947354571710905,4.500481976734941,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_pcnt_sleep_time,median_relative_error,0.08162722680138262,0.02354569021593793,0.08162722680138262,0.02354569021593793,3.466758716893747,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_sleep_time,median_relative_error,0.044082055503926985,0.023366069590302813,0.044082055503926985,0.023366069590302813,1.8865841057933657,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,avg_total_time,median_relative_error,0.07046279877788872,0.000353701465692985,0.07046279877788872,0.000353701465692985,199.2154560056329,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,group_coverage,jaccard,0.140625,0.9565217391304348,0.859375,0.04347826086956519,19.765625000000014,pertable
on_off_mods_sleep_summary_by_cpu_marketcodename_gen,number_of_systems,median_relative_error,0.9010861132660978,0.038038963884769635,0.9010861132660978,0.038038963884769635,23.68850308319997,pertable
persona_web_cat_usage_analysis,content_creation_photo_edit_creation,median_relative_error,0.42622950819672123,0.7292576419213974,0.42622950819672123,0.7292576419213974,0.5844704034553841,pertable
persona_web_cat_usage_analysis,content_creation_video_audio_edit_creation,median_relative_error,0.75,0.4444444444444445,0.75,0.4444444444444445,1.6874999999999998,pertable
persona_web_cat_usage_analysis,content_creation_web_design_development,median_relative_error,0.18631178707224338,0.23026315789473678,0.18631178707224338,0.23026315789473678,0.8091254752851715,pertable
persona_web_cat_usage_analysis,days,median_relative_error,0.9839538641364136,0.05910682424909113,0.9839538641364136,0.05910682424909113,16.647043325991984,pertable
persona_web_cat_usage_analysis,education,median_relative_error,0.1253347616497054,0.07218212104386458,0.1253347616497054,0.07218212104386458,1.736368505623994,pertable
persona_web_cat_usage_analysis,entertainment_music_audio_streaming,median_relative_error,0.5844155844155844,0.27424749163879597,0.5844155844155844,0.27424749163879597,2.130978777320241,pertable
persona_web_cat_usage_analysis,entertainment_other,median_relative_error,0.2397355601948504,0.22188969645147497,0.2397355601948504,0.22188969645147497,1.080426734673902,pertable
persona_web_cat_usage_analysis,entertainment_video_streaming,median_relative_error,0.512176400809434,0.03686914475672405,0.512176400809434,0.03686914475672405,13.891735330150974,pertable
persona_web_cat_usage_analysis,finance,median_relative_error,0.3819742489270387,0.15326633165829145,0.3819742489270387,0.15326633165829145,2.4922254274255966,pertable
persona_web_cat_usage_analysis,games_other,median_relative_error,0.59514687100894,0.31984897518878097,0.59514687100894,0.31984897518878097,1.8607121397142916,pertable
persona_web_cat_usage_analysis,games_video_games,median_relative_error,0.6428571428571429,0.2857142857142857,0.6428571428571429,0.2857142857142857,2.2500000000000004,pertable
persona_web_cat_usage_analysis,mail,median_relative_error,0.45489361702127656,0.04011887072808324,0.45489361702127656,0.04011887072808324,11.338644602048848,pertable
persona_web_cat_usage_analysis,news,median_relative_error,0.17350427350427358,0.18752886836027718,0.17350427350427358,0.18752886836027718,0.9252136752136754,pertable
persona_web_cat_usage_analysis,number_of_systems,median_relative_error,0.3488795518207283,0.03842869342442357,0.3488795518207283,0.03842869342442357,9.078621226268284,pertable
persona_web_cat_usage_analysis,private,median_relative_error,0.19518668627380653,0.11271562345983256,0.19518668627380653,0.11271562345983256,1.731673749232851,pertable
persona_web_cat_usage_analysis,productivity_crm,median_relative_error,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,pertable
persona_web_cat_usage_analysis,productivity_other,median_relative_error,0.36625514403292175,0.12085137085137085,0.36625514403292175,0.12085137085137085,3.0306246545052513,pertable
persona_web_cat_usage_analysis,productivity_presentations,median_relative_error,0.33136094674556216,0.24358974358974364,0.33136094674556216,0.24358974358974364,1.3603238866396758,pertable
persona_web_cat_usage_analysis,productivity_programming,median_relative_error,0.5612745098039216,0.25833333333333336,0.5612745098039216,0.25833333333333336,2.1726755218216316,pertable
persona_web_cat_usage_analysis,productivity_project_management,median_relative_error,0.8666666666666667,0.6363636363636364,0.8666666666666667,0.6363636363636364,1.361904761904762,pertable
persona_web_cat_usage_analysis,productivity_spreadsheets,median_relative_error,0.38385093167701867,0.1530054644808743,0.38385093167701867,0.1530054644808743,2.5087400177462293,pertable
persona_web_cat_usage_analysis,productivity_word_processing,median_relative_error,0.11900826446280985,0.27038626609442046,0.11900826446280985,0.27038626609442046,0.44014167650531283,pertable
persona_web_cat_usage_analysis,recreation_travel,median_relative_error,0.19945355191256833,0.14845938375350137,0.19945355191256833,0.14845938375350137,1.3434890194865454,pertable
persona_web_cat_usage_analysis,reference,median_relative_error,0.1933884297520661,0.12044817927170864,0.1933884297520661,0.12044817927170864,1.6055737074764562,pertable
persona_web_cat_usage_analysis,search,median_relative_error,0.2496789841632187,0.08517520215633419,0.2496789841632187,0.08517520215633419,2.931357693815006,pertable
persona_web_cat_usage_analysis,shopping,median_relative_error,0.1293747542272905,0.10075757575757575,0.1293747542272905,0.10075757575757575,1.2840201171430337,pertable
persona_web_cat_usage_analysis,social_communication,median_relative_error,0.3592039800995027,0.20600414078674956,0.3592039800995027,0.20600414078674956,1.7436735918397965,pertable
persona_web_cat_usage_analysis,social_communication_live,median_relative_error,0.16378433367243136,0.1660714285714286,0.16378433367243136,0.1660714285714286,0.9862282457694791,pertable
persona_web_cat_usage_analysis,social_social_network,median_relative_error,0.34427327528466173,0.16732477788746286,0.34427327528466173,0.16732477788746286,2.0575152086334074,pertable
persona_web_cat_usage_analysis,unclassified,median_relative_error,0.29519663470945023,0.04434861981051899,0.29519663470945023,0.04434861981051899,6.656275572288113,pertable
pkg_power_by_country,avg_pkg_power_consumed,median_relative_error,5.368921846067861,0.8399379080795496,5.368921846067861,0.8399379080795496,6.392046119627424,pertable
pkg_power_by_country,group_coverage,jaccard,0.9230769230769231,0.8775510204081632,0.07692307692307687,0.12244897959183676,0.6282051282051276,pertable
pkg_power_by_country,number_of_systems,median_relative_error,0.5136264534883721,0.3888888888888889,0.5136264534883721,0.3888888888888889,1.3207537375415281,pertable
popular_browsers_by_count_usage_percentage,percent_duration,total_variation,0.3613,0.007699999999999971,0.3613,0.007699999999999971,46.9220779220781,pertable
popular_browsers_by_count_usage_percentage,percent_instances,total_variation,0.37189999999999995,0.002290970902909667,0.37189999999999995,0.002290970902909667,162.33292161313145,pertable
popular_browsers_by_count_usage_percentage,percent_systems,total_variation,0.09625240898462187,0.001466776388245758,0.09625240898462187,0.001466776388245758,65.62173331664977,pertable
ram_utilization_histogram,avg_percentage_used,median_relative_error,0.20833333333333334,0.06385809312638581,0.20833333333333334,0.06385809312638581,3.2624421296296298,pertable
ram_utilization_histogram,count(DISTINCT guid)_distribution,total_variation,0.6803571704400805,0.010910231040328022,0.6803571704400805,0.010910231040328022,62.35955663314947,pertable
server_exploration_1,chassistype_distribution,total_variation,0.2686230117893445,0.015223858210634217,0.2686230117893445,0.015223858210634217,17.64487083843865,pertable
server_exploration_1,nrs_mean,relative_error,0.334615548625077,0.08238565546691025,0.334615548625077,0.08238565546691025,4.061575364408838,pertable
server_exploration_1,os_distribution,total_variation,0.3478908568294388,0.008699347548933797,0.3478908568294388,0.008699347548933797,39.99045386709222,pertable
server_exploration_1,received_bytes_mean,relative_error,0.9999991461411204,0.9999931882493419,0.9999991461411204,0.9999931882493419,1.0000059579323624,pertable
server_exploration_1,row_count,relative_error,5.179024716098865,0.039509536784741145,5.179024716098865,0.039509536784741145,131.08290143505403,pertable
server_exploration_1,sent_bytes_mean,relative_error,0.999996412580535,0.9999855319605848,0.999996412580535,0.9999855319605848,1.0000108807773735,pertable
server_exploration_1,vendor_distribution,total_variation,0.21324486811460758,0.07016616610897039,0.21324486811460758,0.07016616610897039,3.0391409412826005,pertable
top_10_applications_by_app_type_ranked_by_focal_time,average_focal_sec_per_day_rank_corr,mean_spearman_rho,0.4285714285714286,0.38571428571428573,0.5714285714285714,0.6142857142857143,0.9302325581395348,pertable
top_10_applications_by_app_type_ranked_by_focal_time,item_overlap,mean_jaccard,0.05146198830409356,0.08445951480007206,0.9485380116959065,0.9155404851999279,1.0360415809343186,pertable
top_10_applications_by_app_type_ranked_by_system_count,item_overlap,mean_jaccard,0.12743378052975576,0.9414141414141414,0.8725662194702443,0.05858585858585863,14.893802711647261,pertable
top_10_applications_by_app_type_ranked_by_system_count,number_of_systems_rank_corr,mean_spearman_rho,-0.04999999999999999,0.9854545454545455,1.05,0.014545454545454528,72.18750000000009,pertable
top_10_applications_by_app_type_ranked_by_total_detections,item_overlap,mean_jaccard,0.39485383897148607,0.7054876496052968,0.6051461610285139,0.29451235039470325,2.054739504871363,pertable
top_10_applications_by_app_type_ranked_by_total_detections,total_number_of_detections_rank_corr,mean_spearman_rho,0.10841269841269842,0.8990476190476191,0.8915873015873016,0.1009523809523809,8.831761006289312,pertable
top_mods_blocker_types_durations_by_osname_and_codename,average_active_time_in_seconds,median_relative_error,0.9301915788693607,0.4574341009738085,0.9301915788693607,0.4574341009738085,2.0334985452311547,pertable
top_mods_blocker_types_durations_by_osname_and_codename,group_coverage,jaccard,0.10730208198069514,0.578444360333081,0.8926979180193049,0.421555639666919,2.1176277435753117,pertable
top_mods_blocker_types_durations_by_osname_and_codename,number_of_clients,median_relative_error,0.9554140127388535,0.24285714285714285,0.9554140127388535,0.24285714285714285,3.9340576995129264,pertable
top_mods_blocker_types_durations_by_osname_and_codename,number_of_occurences,median_relative_error,0.9855475264035576,0.6945010183299389,0.9855475264035576,0.6945010183299389,1.4190728312731575,pertable
userwait_top_10_wait_processes,item_overlap,jaccard,0.0,0.0,1.0,1.0,1.0,pertable
userwait_top_10_wait_processes_wait_type_ac_dc,item_overlap,mean_jaccard,0.14285714285714285,0.0,0.8571428571428572,1.0,0.8571428571428572,pertable
userwait_top_20_wait_processes_compare_ac_dc_unknown_durations,item_overlap,jaccard,0.02564102564102564,0.02564102564102564,0.9743589743589743,0.9743589743589743,1.0,pertable
Xeon_network_consumption,avg_bytes_received,median_relative_error,1719.2793148884955,0.9999399533092179,1719.2793148884955,0.9999399533092179,1719.382558121299,mst
Xeon_network_consumption,avg_bytes_sent,median_relative_error,31.589269423473947,0.9999749970043232,31.589269423473947,0.9999749970043232,31.590059269589293,mst
Xeon_network_consumption,group_coverage,jaccard,0.6666666666666666,0.875,0.33333333333333337,0.125,2.666666666666667,mst
Xeon_network_consumption,number_of_systems,median_relative_error,0.461845280568272,0.1111111111111111,0.461845280568272,0.1111111111111111,4.156607525114448,mst
